Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
1981,DEN,T.R. Dunn,25,82,1427,10.2,0.456,0.006,0.342,9.3,12.3,10.8,6.7,2,1,12.1,12.1,1.6
1981,GSW,Lorenzo Romar,22,53,726,10.2,0.459,0.028,0.299,1.5,7.1,4.3,23.9,1.8,0.2,17.9,15.9,0.5
1982,PHO,Jeff Cook,25,76,1298,10.2,0.469,0.006,0.374,9.8,15.7,12.8,10,1.4,1,16.1,15.8,2
1982,IND,Jerry Sichting,25,51,800,10.2,0.503,0.046,0.196,1.9,5.7,3.7,20.1,2,0.1,16.6,13.2,1.1
1982,NJN,Jan Van Breda Kolff,30,41,452,10.2,0.624,0.024,0.927,4.2,7.8,6,8.9,1.2,1.7,20.1,12.8,1.1
1982,DEN,James Ray,24,40,262,10.2,0.47,0.009,0.31,7.6,18.7,13.3,12.3,1.7,3.1,21.9,24.5,-0.3
1983,DAL,Allan Bristow,31,37,371,10.2,0.494,0.131,0.141,6.8,10.3,8.6,23.2,0.8,0.1,22.8,14.5,0.2
1983,LAL,Mark Landsberger,27,39,356,10.2,0.434,0,0.245,17.9,21.7,19.9,3.8,1,0.6,15,14.8,0.4
1984,DEN,T.R. Dunn,28,80,2705,10.2,0.523,0.003,0.392,7.4,15.1,11.1,9.1,2.8,0.6,18.3,7.4,4.1
1984,LAL,Calvin Garrett,27,41,478,10.2,0.556,0.039,0.257,6.1,10.4,8.4,8,1.2,0.2,16.7,17.1,0.6
1984,UTA,Tom Boswell,30,38,261,10.2,0.596,0.019,0.404,11.9,13.7,12.9,7.6,1.6,0,17.5,11.3,0.6
1985,DET,Earl Cureton,27,81,1642,10.2,0.505,0.007,0.336,10.3,16.6,13.3,6,1.6,1.4,18.8,14.1,2
1985,PHI,Sedale Threatt,23,82,1304,10.2,0.489,0.053,0.216,1.8,6.7,4.3,18.5,2.9,0.7,17.9,17.1,1.3
1985,KCK,Joe Meriweather,31,76,1061,10.2,0.57,0.008,0.51,10.2,18,14.1,3.1,0.7,1.4,14.4,12.9,1.8
1985,CHI,Rod Higgins,25,68,942,10.2,0.497,0.137,0.333,6.9,11,9,10.4,1.1,0.8,13.7,15.9,1
1985,KCK,Billy Knight,32,16,189,10.2,0.5,0.014,0.232,6.1,7.2,6.6,14.6,0.5,0.3,14.6,18.6,0.1
